id,name,image,bio,career,age,height,cup,size,birthplace,genre,catch,tags
enako,えなこ,https://www.sponichi.co.jp/entertainment/news/2022/09/18/jpeg/20220918s00041000195000p_view.webp,人気コスプレイヤー,日本トップクラスのコスプレイヤーとしてグラビア・テレビなど幅広く活躍,29,154,E,B86 W59 H85,愛知県,コスプレイヤー / グラビア,日本一のコスプレイヤー,"コスプレ,可愛い系,童顔"
nitori_sayaka,似鳥沙也加,https://pbs.twimg.com/profile_images/1792617572581412864/F1F8sCf__400x400.jpg,インフルエンサーグラビア,SNS発で人気急上昇のグラビアアイドル,30,164,G,B95 W58 H88,福岡県,グラビア,SNS最強ボディ,"Gカップ,巨乳,大人系"
shinozaki_ai,篠崎愛,https://contents.oricon.co.jp/upimg/news/2222000/2221944/20220121_172655_p_o_7074.jpg,グラビアレジェンド,長年トップで活躍するグラビアアイドル,33,160,G,B95 W60 H88,東京都,グラビア,グラビア界の王道,"巨乳,童顔,癒し系"
sawaguchi_aika,沢口愛華,https://magazine.yanmaga.jp/content/images/_gravure-style/2025ym36-37cover01_pFM3iBwGfGnW.jpg,ミスマガ出身,ミスマガジン受賞後人気爆発,21,155,F,B88 W60 H85,愛知県,グラビア,令和のグラビアクイーン,"可愛い系,童顔,美少女"
hongo_yuzuha,本郷柚巴,https://s.rbbtoday.com/imgs/p/hDN4m_UJPEFczM0wl2KIHdtO9kFAQ0P9REdG/951369.jpg?vmode=default,NMB48出身,アイドルからグラビアで人気,22,157,E,B87 W62 H85,大阪府,グラビア,グラビア覚醒,"可愛い系,アイドル系"
tanaka_miku,田中美久,https://fc-site-001.imgix.net/tanaka/1964a7e4-46c4-49dc-926a-639d267e9f05,HKT48出身,アイドルとグラビアで活躍,22,151,F,B90 W59 H83,熊本県,グラビア,最強童顔ボディ,"童顔,巨乳,可愛い系"
kikuchi_hina,菊地姫奈,https://www.news-postseven.com/uploads/2023/11/08/teikyo_kikuchi_hina-2-581x750.jpg,若手グラビア,若手ながら圧倒的人気,20,160,F,B88 W57 H83,茨城県,グラビア,次世代エース,"巨乳,清楚,可愛い系"
shinonome_umi,東雲うみ,https://static.chunichi.co.jp/image/article/size1/1/3/4/2/134265e8819baaea3521460e6ac83d57_1.jpg,コスプレグラビア,コスプレとグラビアの融合,28,162,H,B100 W59 H93,埼玉県,グラビア / コスプレ,二刀流グラビア,"Hカップ,コスプレ,巨乳"
morisaki_tomomi,森咲智美,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzrH494kX8kr0KTVH6Nh2xstM6oEk3bHiwQA&s,セクシー系,日本一エロすぎるグラドルで話題,31,160,G,B89 W58 H88,愛知県,グラビア,日本一セクシー,"巨乳,大人系,色気"
hashimoto_moeka,橋本萌花,"https://m.media-amazon.com/images/I/71y+Bzg937L._UF1000,1000_QL80_.jpg",レースクイーン,レースクイーンから人気に,26,173,G,B93 W61 H90,兵庫県,グラビア,高身長グラマー,"高身長,巨乳,モデル系"
